Number_of_announcements,Number_of_withdrawals,Number_of_announced_NLRI_prefixes,Number_of_withdrawn_NLRI_prefixes,Average_AS_path_length,Average_unique_AS_path_length,Maximum_edit_distance,Maximum_AS_path_length,Number_of_incomplete_packets,Labels
78,5,287,9,6,6,1.3,14,8,Normal
50,4,103,16,7,7,0.9,14,9,Normal
58,5,148,27,7,7,1,15,7,Normal
37,5,83,34,6,6,0.7,9,7,Normal
56,9,119,65,6,6,1,12,10,Normal
85,6,355,46,6,6,1.5,14,15,Normal
103,6,618,66,6,6,1.8,14,25,Normal
89,5,413,24,6,7,1.5,14,17,Normal
57,4,334,12,7,7,1,14,21,Normal
59,5,209,27,6,6,1,13,9,Normal
49,6,91,31,6,6,0.9,13,9,Normal
78,6,162,59,7,7,1.4,14,15,Normal
64,5,113,19,7,7,1.1,17,18,Normal
116,7,256,41,6,6,2,15,15,Normal
82,5,146,23,6,6,1.4,10,23,Normal
70,6,93,25,6,6,1.2,13,12,Normal
74,8,111,26,7,7,1.3,14,10,Normal
57,6,126,35,7,6,1,13,4,Normal
57,6,140,11,7,7,1,14,11,Normal
68,6,118,15,7,7,1.2,14,4,Normal
75,6,252,55,6,6,1.3,13,2,Normal
80,6,233,33,6,6,1.4,11,16,Normal
153,8,389,141,6,6,2.6,11,14,Normal
98,5,199,30,6,6,1.7,12,11,Normal
37,6,65,33,6,6,0.7,13,9,Normal
55,5,150,8,6,6,100,10,10,Normal
71,6,186,15,6,6,1.2,10,7,Normal
60,8,135,26,7,7,1.1,14,3,Normal
59,6,253,97,6,6,1,9,3,Normal
69,5,411,47,5,5,1.2,9,9,Normal
65,5,128,42,5,5,1.1,9,9,Normal
75,7,132,71,5,5,1.3,11,4,Normal
78,3,183,14,6,6,1.3,13,14,Normal
63,6,212,18,6,6,1.1,13,17,Normal
58,6,108,26,6,6,1,10,15,Normal
38,5,62,28,6,6,0.7,7,8,Normal
49,7,94,26,6,6,0.9,8,7,Normal
66,5,107,7,6,7,1.1,14,9,Normal
59,7,75,29,7,7,1.1,14,12,Normal
38,7,50,37,6,6,0.7,14,8,Normal
68,6,139,36,6,6,1.2,8,15,Normal
80,5,199,13,6,6,1.4,11,15,Normal
74,7,135,19,6,6,1.3,11,20,Normal
61,6,137,18,5,5,1.1,10,13,Normal
62,6,122,30,6,6,1.1,10,14,Normal
57,6,165,20,6,6,1,14,8,Normal
65,7,155,33,6,6,1.2,11,11,Normal
75,7,129,18,6,6,1.3,10,8,Normal
60,8,159,68,6,6,1.1,10,10,Normal
54,7,245,28,6,6,1,8,6,Normal
49,5,129,13,6,6,0.9,13,6,Normal
79,6,187,36,6,6,1.4,12,17,Normal
73,6,170,43,6,6,1.3,11,7,Normal
59,3,125,16,6,6,1,9,9,Normal
63,6,295,38,6,6,1.1,11,14,Normal
79,5,530,31,6,6,1.4,10,18,Normal
37,5,179,60,6,6,0.7,14,6,Normal
34,3,50,9,6,6,0.6,10,0,Normal
51,6,68,13,6,6,0.9,13,4,Normal
59,3,84,6,6,6,1,12,4,Normal
54,4,80,24,7,7,0.9,13,4,Normal
79,5,190,14,7,7,1.4,16,10,Normal
113,6,269,50,6,6,1.9,11,17,Normal
100,6,292,34,6,6,1.7,14,7,Normal
58,5,148,23,7,7,1,13,18,Normal
89,9,180,25,7,7,1.6,14,21,Normal
157,5,428,53,7,7,2.7,11,17,Normal
115,7,290,44,6,6,2,9,18,Normal
57,3,151,21,6,6,100,10,6,Normal
94,4,279,54,6,6,1.6,17,10,Normal
124,5,331,17,5,6,2.1,12,11,Normal
65,5,149,34,6,6,1.1,12,7,Normal
75,4,350,19,7,7,1.3,11,14,Normal
75,5,537,22,6,6,1.3,10,34,Normal
87,8,191,44,6,6,1.5,16,23,Normal
99,7,170,44,7,7,1.7,14,27,Normal
76,7,119,30,8,8,1.3,13,8,Normal
36,7,72,33,8,8,0.7,12,4,Normal
38,5,81,25,6,7,0.7,12,8,Normal
38,4,60,20,6,6,0.7,12,7,Normal
41,3,66,5,7,6,0.7,12,9,Normal
35,3,52,6,6,6,0.6,9,3,Normal
47,3,87,4,7,7,0.8,15,0,Normal
33,2,59,5,6,7,0.5,15,0,Normal
59,8,112,41,6,6,1.1,14,8,Normal
53,3,108,11,6,6,0.9,15,2,Normal
57,4,118,31,6,7,1,16,6,Normal
45,4,64,13,7,7,0.8,17,3,Normal
33,3,50,8,6,6,0.6,12,11,Normal
46,4,86,9,7,7,0.8,15,8,Normal
52,5,111,26,7,7,0.9,14,14,Normal
45,6,101,12,5,5,0.8,7,14,Normal
49,6,93,22,6,6,0.9,13,5,Normal
54,7,99,38,7,7,1,15,5,Normal
77,6,211,30,7,7,1.3,15,12,Normal
58,7,119,12,7,7,1,13,18,Normal
51,4,123,20,6,6,0.9,9,16,Normal
56,3,117,24,6,6,0.9,7,14,Normal
34,6,54,23,6,6,0.6,8,11,Normal
48,6,133,80,7,7,0.9,14,8,Normal
51,4,109,56,6,6,0.9,14,8,Normal
82,6,580,9,5,5,1.4,9,24,Normal
48,2,204,8,5,5,0.8,9,7,Normal
61,5,128,11,6,6,1.1,9,4,Normal
54,6,67,16,6,6,100,13,2,Normal
47,7,61,17,7,7,0.9,15,0,Normal
47,6,81,11,8,8,0.8,13,2,Normal
35,3,46,9,6,6,0.6,12,5,Normal
42,5,67,25,6,6,0.7,8,11,Normal
56,7,91,12,5,5,1,7,10,Normal
79,8,165,42,6,6,1.4,10,24,Normal
70,4,174,55,7,7,1.2,14,12,Normal
114,5,502,47,6,6,1.9,10,14,Normal
54,7,113,38,7,7,1,14,11,Normal
69,5,168,7,7,7,1.2,14,11,Normal
48,7,105,43,6,6,0.9,14,4,Normal
59,4,159,8,6,6,1,10,3,Normal
114,5,338,55,6,6,1.9,13,19,Normal
140,4,381,28,6,6,2.4,15,8,Normal
98,5,248,58,6,6,1.7,16,6,Normal
124,5,567,16,6,6,2.1,17,4,Normal
142,7,672,35,5,5,2.4,12,19,Normal
90,5,201,13,6,6,1.5,11,11,Normal
67,6,140,15,7,6,1.2,12,6,Normal
59,4,133,49,7,7,1,12,2,Normal
69,7,157,39,6,6,1.2,11,10,Normal
91,10,204,59,6,6,1.6,13,10,Normal
81,6,215,50,6,6,1.4,14,10,Normal
75,4,152,9,6,6,1.3,13,17,Normal
90,8,198,31,6,6,1.6,9,14,Normal
66,6,108,28,6,6,1.2,13,6,Normal
57,6,109,19,7,7,1,14,3,Normal
84,7,481,31,7,6,1.5,15,9,Normal
132,6,462,118,6,6,2.3,8,22,Normal
139,8,512,24,6,6,2.4,10,17,Normal
87,6,186,136,6,6,1.5,13,17,Normal
57,4,103,10,6,6,1,9,12,Normal
55,6,102,28,7,7,1,12,5,Normal
70,6,132,48,6,6,1.2,11,9,Normal
97,7,200,52,7,7,1.7,12,8,Normal
92,8,250,36,7,7,1.6,14,24,Normal
105,7,284,32,6,6,1.8,14,25,Normal
65,7,143,29,6,6,1.2,12,16,Normal
63,7,145,37,6,6,1.1,14,13,Normal
67,5,632,21,6,6,1.2,14,17,Normal
85,7,548,39,6,6,1.5,15,22,Normal
103,5,862,38,6,7,1.8,15,39,Normal
104,6,800,14,6,6,1.8,14,27,Normal
54,4,150,15,6,6,0.9,8,11,Normal
713,6,3500,153,6,6,11,22,46,Normal
404,7,2016,30,5,6,6.8,21,27,Normal
96,5,240,11,6,6,1.6,14,19,Normal
76,6,221,32,6,6,1.3,14,15,Normal
61,7,188,44,7,7,1.1,14,13,Normal
48,3,97,3,7,7,0.8,15,7,Normal
66,5,93,8,7,7,1.1,16,12,Normal
57,6,105,29,7,7,1,14,12,Normal
73,4,104,19,7,7,1.2,12,23,Normal
57,6,83,21,6,6,1,10,16,Normal
51,5,103,9,6,6,0.9,15,10,Normal
37,7,84,17,6,6,0.7,14,2,Normal
57,4,135,27,6,6,1,11,9,Normal
50,6,107,23,6,6,0.9,12,4,Normal
43,6,101,51,5,6,0.8,14,4,Normal
64,5,168,13,6,6,1.1,9,4,Normal
56,2,131,32,6,6,0.9,12,3,Normal
73,4,212,5,6,6,1.2,11,3,Normal
59,3,132,4,7,7,1,10,7,Normal
58,7,126,23,6,6,1,12,8,Normal
78,9,181,49,6,7,1.4,14,8,Normal
62,6,191,16,6,6,1.1,14,10,Normal
60,4,103,12,6,6,1,19,7,Normal
60,4,137,20,6,6,1,20,8,Normal
56,7,112,42,6,6,1,11,4,Normal
73,6,178,17,6,7,1.3,14,18,Normal
44,5,128,14,6,6,0.8,13,7,Normal
34,6,38,18,6,6,0.6,12,6,Normal
54,3,174,4,6,6,0.9,12,4,Normal
47,5,137,20,6,6,0.8,10,4,Normal
46,6,133,41,6,6,0.8,11,7,Normal
41,3,88,11,6,6,0.7,9,5,Normal
40,4,80,21,6,6,0.7,9,15,Normal
179,7,459,18,5,5,3.1,10,25,Normal
70,5,118,14,6,6,1.2,14,5,Normal
38,6,108,17,6,6,0.7,13,5,Normal
49,4,122,14,6,6,0.8,14,8,Normal
61,6,139,12,7,7,1.1,13,4,Normal
52,5,62,20,6,6,0.9,12,12,Normal
42,6,87,24,6,6,0.8,9,9,Normal
64,6,69,18,6,6,1.1,8,13,Normal
50,5,102,19,5,5,0.9,8,11,Normal
53,8,163,32,6,6,1,14,8,Normal
54,6,141,46,7,7,100,15,5,Normal
101,6,191,24,6,6,1.7,15,9,Normal
55,6,117,23,6,6,1,9,15,Normal
43,6,70,32,6,6,0.8,9,7,Normal
63,6,136,10,6,6,1.1,15,6,Normal
50,7,83,28,6,6,0.9,16,6,Normal
68,6,113,23,6,6,1.2,16,8,Normal
85,7,132,26,6,6,1.5,12,8,Normal
67,5,107,13,7,7,1.2,14,2,Normal
61,6,109,12,6,6,1.1,11,10,Normal
52,5,71,31,6,6,0.9,14,7,Normal
71,6,134,26,6,6,1.2,15,13,Normal
116,6,262,38,6,6,2,10,24,Normal
129,10,286,84,6,6,2.3,11,16,Normal
98,6,307,40,6,6,1.7,11,9,Normal
97,6,350,26,6,6,1.7,13,24,Normal
57,5,267,11,6,6,1,13,11,Normal
80,7,426,65,6,6,1.4,9,20,Normal
76,5,440,13,6,6,1.3,10,13,Normal
73,6,373,37,6,6,1.3,14,15,Normal
75,5,211,26,6,6,1.3,11,18,Normal
76,4,175,6,6,6,1.3,12,4,Normal
61,5,141,16,5,5,1.1,13,2,Normal
52,5,135,33,6,6,0.9,14,14,Normal
78,6,267,45,6,6,1.4,12,10,Normal
68,4,215,26,7,7,1.2,13,12,Normal
50,4,116,13,6,6,0.9,9,3,Normal
92,8,246,62,5,5,1.6,9,7,Normal
75,8,175,60,6,6,1.3,13,7,Normal
89,7,203,23,6,6,1.6,13,7,Normal
76,6,192,28,6,6,1.3,13,10,Normal
78,6,266,46,6,6,1.4,14,10,Normal
92,7,300,111,6,6,1.6,16,11,Normal
92,7,339,51,6,6,1.6,14,16,Normal
171,6,741,43,5,5,2.9,10,15,Normal
124,6,391,87,6,6,2.1,14,10,Normal
81,7,267,18,6,6,1.4,12,5,Normal
73,5,172,20,6,6,1.3,14,7,Normal
55,3,109,25,7,7,0.9,15,7,Normal
109,4,268,86,7,7,1.8,16,11,Normal
80,6,153,18,7,7,1.4,15,8,Normal
57,5,77,12,7,7,1,14,2,Normal
119,7,296,53,7,6,2.1,13,11,Normal
65,5,117,25,8,8,1.1,18,2,Normal
88,10,183,72,8,8,1.6,16,13,Normal
68,6,124,13,8,8,1.2,17,4,Normal
53,6,88,36,7,7,0.9,15,6,Normal
40,7,81,18,6,6,0.7,10,5,Normal
57,6,179,47,6,6,1,11,6,Normal
36,3,66,7,6,6,0.6,10,6,Normal
46,5,95,14,7,7,0.8,12,8,Normal
53,6,86,16,7,7,0.9,13,1,Normal
61,6,105,37,7,7,1.1,12,3,Normal
70,7,133,17,7,7,1.2,14,7,Normal
106,9,305,35,6,6,1.9,14,5,Normal
111,6,289,9,6,6,1.9,12,14,Normal
67,7,194,20,6,6,1.2,11,14,Normal
74,6,462,41,7,7,1.3,13,12,Normal
74,6,272,19,7,7,1.3,13,10,Normal
79,5,347,29,6,6,1.4,14,15,Normal
101,6,499,40,6,6,1.7,15,32,Normal
75,7,417,23,7,7,1.3,15,19,Normal
83,6,232,42,6,7,1.4,18,30,Normal
91,7,413,174,6,7,1.6,19,24,Normal
77,7,442,37,6,6,1.4,14,27,Normal
53,6,78,13,6,6,0.9,14,20,Normal
96,7,738,34,6,6,1.7,12,27,Normal
68,6,219,71,6,6,1.2,15,13,Normal
113,7,332,70,7,7,200,15,15,Normal
105,7,251,18,7,6,1.8,11,7,Normal
68,8,112,78,6,6,1.2,13,7,Normal
67,3,143,7,6,6,1.1,14,6,Normal
135,7,355,110,6,6,2.3,10,13,Normal
146,7,324,66,7,7,2.5,13,7,Normal
100,8,564,149,7,7,1.8,15,4,Normal
154,7,818,36,6,7,2.6,13,20,Normal
173,8,585,64,7,7,3,13,24,Normal
73,7,97,18,7,7,1.3,14,6,Normal
107,7,181,52,7,6,1.9,17,4,Normal
119,7,260,43,7,7,2.1,15,5,Normal
123,7,311,36,7,7,2.1,15,12,Normal
96,8,365,134,6,7,1.7,17,14,Normal
72,6,202,28,7,7,1.3,17,11,Normal
81,6,439,123,6,6,1.4,13,12,Normal
73,8,221,42,6,6,1.3,13,9,Normal
63,6,135,32,6,6,1.1,12,12,Normal
48,5,77,18,6,6,0.8,12,15,Normal
52,7,96,41,6,6,0.9,11,13,Normal
72,4,162,24,6,6,1.2,13,29,Normal
87,6,195,9,6,6,1.5,13,19,Normal
80,6,167,37,6,7,1.4,13,15,Normal
75,6,197,18,7,7,1.3,14,12,Normal
129,8,628,39,6,6,2.2,14,25,Normal
128,6,456,34,6,6,2.2,14,27,Normal
111,8,175,44,6,6,1.9,11,29,Normal
131,8,339,25,7,7,2.3,12,48,Normal
86,8,214,38,6,7,1.5,10,37,Normal
67,5,224,35,6,6,1.2,11,10,Normal
107,7,313,13,6,6,1.9,13,24,Normal
88,3,186,39,6,6,1.5,15,15,Normal
142,7,462,50,7,7,2.4,15,36,Normal
134,7,307,40,6,7,2.3,14,25,Normal
171,5,667,81,6,6,2.9,13,45,Normal
106,8,586,36,6,6,1.9,12,19,Normal
61,6,283,30,5,5,1.1,9,16,Normal
62,7,232,208,6,6,1.1,11,13,Normal
68,5,461,18,6,6,1.2,13,22,Normal
84,6,905,83,6,6,1.5,16,27,Normal
59,5,113,29,6,6,1,11,6,Normal
89,6,397,14,6,6,1.5,11,18,Normal
80,8,222,271,6,6,1.4,10,20,Normal
113,7,546,62,6,6,200,13,39,Normal
138,8,460,37,7,7,2.4,16,40,Normal
126,5,363,47,7,7,2.1,17,33,Normal
72,7,160,145,7,7,1.3,14,15,Normal
121,6,372,52,6,6,2.1,13,32,Normal
95,5,216,17,6,6,1.6,14,17,Normal
81,8,191,30,6,6,1.4,11,11,Normal
113,6,565,33,6,6,1.9,12,28,Normal
64,7,158,192,6,6,1.1,15,16,Normal
111,8,525,131,6,6,1.9,11,32,Normal
142,7,477,139,6,6,2.4,11,28,Normal
139,6,485,172,7,7,2.4,14,29,Normal
143,6,403,153,6,7,2.4,15,33,Normal
106,7,339,116,6,6,1.8,13,29,Normal
157,9,562,143,6,6,2.7,15,28,Normal
213,10,1088,208,6,6,3.7,14,45,Normal
139,7,597,213,6,6,2.4,12,40,Normal
137,7,893,83,6,6,2.4,14,35,Normal
97,7,390,245,6,6,1.7,12,20,Normal
108,6,818,279,6,6,1.9,14,31,Normal
176,8,922,147,6,6,3,9,57,Normal
140,7,459,96,6,6,2.4,12,38,Normal
129,6,476,161,6,6,2.2,12,29,Normal
97,7,267,116,6,6,1.7,10,21,Normal
68,6,179,27,5,5,1.2,9,11,Normal
76,6,212,106,5,6,1.3,11,4,Normal
123,7,617,36,6,7,2.1,13,26,Normal
91,7,339,37,6,6,1.6,12,23,Normal
97,8,297,48,6,6,1.7,11,19,Normal
83,6,191,81,6,6,1.4,11,17,Normal
87,9,193,95,6,6,1.6,10,19,Normal
124,7,316,62,6,6,2.1,13,27,Normal
110,7,299,108,6,6,1.9,11,28,Normal
84,8,243,148,7,7,1.5,14,20,Normal
113,6,473,33,6,6,1.9,10,34,Normal
84,8,268,37,5,6,1.5,8,23,Normal
70,5,180,71,6,6,1.2,14,13,Normal
81,6,161,32,7,7,1.4,13,12,Normal
90,6,206,55,7,7,1.6,14,18,Normal
167,5,721,283,6,6,2.8,14,39,Normal
91,6,503,61,7,7,1.6,14,22,Normal
142,7,559,258,6,6,2.4,15,30,Normal
80,7,147,119,6,6,1.4,11,16,Normal
90,5,216,20,7,7,1.5,14,23,Normal
81,6,326,193,7,7,1.4,15,21,Normal
129,7,1069,37,7,7,2.2,15,39,Normal
97,5,178,27,6,6,1.7,12,21,Normal
84,7,272,21,6,6,1.5,12,15,Normal
106,8,595,74,6,6,1.9,14,22,Normal
91,5,165,22,6,6,1.6,10,24,Normal
97,8,173,16,6,6,1.7,11,16,Normal
94,6,248,57,7,7,1.6,15,12,Normal
57,6,218,49,6,6,1,12,3,Normal
71,6,269,61,6,6,1.2,14,4,Normal
68,4,253,48,6,6,1.2,14,5,Normal
60,5,119,33,5,5,1,12,11,Normal
115,5,208,37,7,7,200,16,17,Normal
73,5,230,56,6,6,1.3,13,10,Normal
81,5,322,31,6,6,1.4,14,16,Normal
65,6,169,56,7,7,1.1,14,11,Normal
51,8,181,36,7,7,0.9,15,12,Normal
70,6,137,13,6,6,1.2,18,21,Normal
66,5,123,49,6,6,1.1,9,26,Normal
74,6,174,43,6,6,1.3,14,29,Normal
116,7,375,37,7,7,2,17,33,Normal
106,7,214,39,7,7,1.8,17,26,Normal
128,6,378,63,7,7,2.2,16,30,Normal
148,8,561,48,6,6,2.6,16,31,Normal
121,7,336,32,7,7,2.1,16,36,Normal
120,8,351,93,7,7,2.1,16,32,Normal
125,8,377,116,7,7,2.2,11,33,Normal
175,6,449,32,7,7,3,13,38,Normal
124,4,294,13,7,7,2.1,17,25,Normal
95,8,192,40,7,7,1.7,17,20,Normal
84,6,429,47,7,7,1.5,14,16,Normal
68,6,312,42,7,7,1.2,11,11,Normal
71,6,134,25,6,6,1.2,11,7,Normal
119,9,236,64,6,6,2.1,13,25,Normal
112,6,650,58,7,7,1.9,12,19,Normal
66,8,115,35,6,6,1.2,12,9,Normal
84,7,165,69,7,7,1.5,17,5,Normal
187,8,795,76,6,6,3.2,16,28,Normal
114,5,490,30,6,7,1.9,13,27,Normal
110,7,247,66,6,7,1.9,12,24,Normal
107,7,216,53,6,6,1.9,14,19,Normal
104,7,209,62,6,6,1.8,11,18,Normal
90,7,297,108,7,7,1.6,11,15,Normal
113,6,518,36,6,6,1.9,16,31,Normal
141,8,521,91,6,6,2.4,21,32,Normal
182,8,531,183,7,7,3.1,19,18,Normal
142,8,369,176,6,6,2.5,17,25,Normal
104,8,215,235,8,8,1.8,16,15,Normal
96,7,204,60,7,7,1.7,16,23,Normal
178,5,600,40,6,6,3,14,32,Normal
204,8,828,33,5,6,3.5,11,33,Normal
144,6,368,32,6,6,2.5,9,31,Normal
78,6,203,39,6,6,1.4,16,19,Normal
102,6,312,64,6,6,1.8,12,29,Normal
79,5,168,22,6,6,1.4,9,19,Normal
101,7,222,85,6,6,1.8,11,23,Normal
83,8,160,40,6,6,1.5,11,20,Normal
85,8,213,87,6,6,1.5,13,18,Normal
127,7,610,177,7,7,2.2,15,26,Normal
159,5,945,15,6,7,2.7,16,36,Normal
83,7,208,58,7,7,1.5,13,12,Normal
141,8,411,75,6,6,2.4,15,23,Normal
105,7,277,60,6,6,1.8,13,29,Normal
84,8,239,49,6,6,1.5,16,10,Normal
80,7,195,99,6,6,1.4,11,14,Normal
96,8,274,132,6,6,1.7,11,25,Normal
86,5,256,42,6,6,1.5,12,9,Normal
87,5,236,27,6,6,1.5,14,17,Normal
81,4,189,62,6,6,1.4,14,11,Normal
90,6,162,34,6,6,1.6,14,13,Normal
76,6,144,39,6,6,1.3,12,16,Normal
91,6,161,88,6,6,1.6,13,15,Normal
60,8,173,162,6,6,1.1,11,8,Normal
69,6,259,82,5,5,1.2,11,20,Normal
82,5,238,51,6,6,1.4,13,16,Normal
80,5,247,29,6,6,1.4,15,21,Normal
76,4,196,53,6,6,1.3,12,21,Normal
54,7,333,43,5,5,1,10,17,Normal
43,3,162,20,6,6,0.7,7,10,Normal
101,8,333,36,6,6,1.8,15,25,Normal
73,8,147,42,6,6,1.3,15,11,Normal
70,5,164,27,6,6,1.2,10,8,Normal
78,6,194,24,6,6,1.4,15,14,Normal
71,7,170,19,6,6,1.3,14,15,Normal
57,5,112,38,6,6,1,11,17,Normal
109,6,229,29,6,6,1.9,11,27,Normal
134,7,277,38,6,6,2.3,12,24,Normal
64,8,239,100,6,6,1.2,11,13,Normal
141,8,792,43,6,6,2.4,12,39,Normal
139,8,749,119,6,6,2.4,14,29,Normal
169,8,1137,119,6,6,2.9,10,46,Normal
244,7,939,227,6,6,4.1,11,50,Normal
193,7,556,88,7,7,3.3,14,23,Normal
167,8,441,102,6,6,2.9,14,22,Normal
97,8,194,28,6,6,1.7,12,15,Normal
75,8,158,93,6,6,1.3,9,17,Normal
116,7,214,36,6,6,2,11,17,Normal
80,6,142,45,6,6,1.4,11,24,Normal
92,5,195,56,6,6,1.6,13,23,Normal
100,7,248,34,6,6,1.7,14,15,Normal
118,6,270,43,6,6,2,14,6,Normal
94,7,201,28,6,6,1.6,11,8,Normal
105,5,201,11,6,6,1.8,13,9,Normal
89,6,169,17,6,6,1.5,14,16,Normal
89,6,250,43,6,6,1.5,15,17,Normal
91,6,251,29,6,6,1.6,11,12,Normal
101,7,288,54,6,6,1.8,15,22,Normal
109,6,217,33,6,6,1.9,14,10,Normal
107,5,293,37,6,6,1.8,12,31,Normal
75,8,195,34,6,6,1.3,12,16,Normal
151,8,452,73,6,6,2.6,14,25,Normal
120,7,439,63,7,7,2.1,14,20,Normal
186,9,547,151,6,6,3.2,13,25,Normal
174,8,408,147,6,6,3,16,20,Normal
191,7,589,33,6,6,3.3,14,22,Normal
169,8,526,122,6,6,2.9,12,28,Normal
612,9,2625,413,5,5,10,15,58,Normal
1173,8,4895,145,5,5,19,9,88,Normal
2608,11,8217,437,6,6,43,15,221,Normal
2593,10,9581,115,6,6,43,15,246,Normal
160,8,582,131,6,6,2.8,11,40,Normal
130,6,622,35,6,6,2.2,12,33,Normal
110,7,413,13,6,6,1.9,12,14,Normal
115,4,480,131,6,6,1.9,10,27,Normal
68,5,104,16,6,6,1.2,13,6,Normal
53,5,68,13,6,6,0.9,11,9,Normal
111,8,239,40,6,6,1.9,14,21,Normal
120,2,235,8,6,6,2,10,20,Normal
92,6,139,32,6,6,1.6,12,19,Normal
151,6,748,21,6,6,2.6,9,34,Normal
227,5,2397,17,6,6,3.8,9,49,Normal
210,7,1269,22,6,6,3.6,8,61,Normal
238,7,1565,106,6,6,4,10,47,Normal
99,8,449,558,6,6,1.7,9,20,Normal
135,6,527,65,6,6,2.3,10,34,Normal
122,7,405,32,6,6,2.1,11,26,Normal
104,6,258,77,7,7,1.8,15,17,Normal
90,4,194,9,6,6,1.5,15,15,Normal
71,9,125,26,6,6,1.3,16,6,Normal
83,6,150,28,6,6,1.4,12,8,Normal
106,7,213,49,6,6,1.8,14,12,Normal
94,4,402,15,6,7,1.6,14,14,Normal
65,6,265,19,6,6,1.1,11,12,Normal
89,6,305,24,6,6,1.5,13,3,Normal
148,4,1420,25,6,6,2.5,14,27,Normal
93,7,305,19,6,6,1.6,14,19,Normal
123,5,539,32,6,6,2.1,12,22,Normal
139,6,342,40,6,6,2.4,11,27,Normal
136,7,301,30,6,6,2.3,13,33,Normal
80,7,174,38,6,6,1.4,12,22,Normal
82,7,171,35,6,6,1.4,12,20,Normal
110,5,214,47,7,7,1.9,11,11,Normal
135,8,265,118,7,7,2.3,15,14,Normal
150,8,323,119,7,7,2.6,15,13,Normal
142,6,457,37,7,7,2.4,22,11,Normal
130,6,308,45,6,6,2.2,9,15,Normal
90,4,398,22,6,6,1.5,14,7,Normal
89,7,221,21,6,6,1.6,12,21,Normal
89,3,218,42,6,6,1.5,12,14,Normal
99,6,211,30,6,6,1.7,11,15,Normal
73,6,142,33,6,6,1.3,9,18,Normal
77,4,128,6,6,6,1.3,11,10,Normal
137,8,1550,33,6,6,2.4,11,24,Normal
100,6,225,57,6,6,1.7,22,22,Normal
105,7,376,76,6,6,1.8,12,11,Normal
124,7,766,587,5,5,2.1,10,17,Normal
134,8,402,19,6,6,2.3,10,28,Normal
161,7,484,50,7,7,2.8,12,16,Normal
99,6,334,73,7,7,1.7,13,13,Normal
137,10,414,63,6,7,2.4,13,22,Normal
153,5,416,31,6,6,2.6,15,31,Normal
133,6,517,80,6,6,2.3,13,25,Normal
172,7,1618,51,6,6,2.9,9,23,Normal
98,6,201,20,6,6,1.7,13,15,Normal
95,6,241,23,6,6,1.6,13,14,Normal
99,5,167,11,6,6,1.7,11,11,Normal
110,7,251,34,6,6,1.9,11,10,Normal
128,6,472,94,6,6,2.2,11,16,Normal
107,8,510,368,7,7,1.9,16,18,Normal
123,5,435,90,7,7,2.1,16,30,Normal
236,8,575,205,6,7,4,14,33,Normal
298,6,779,48,6,6,5,15,37,Normal
143,7,387,97,6,6,2.5,15,10,Normal
146,6,425,47,7,7,2.5,12,7,Normal
369,10,1047,246,7,7,6.3,13,30,Normal
237,8,612,217,6,6,4,12,25,Normal
189,8,357,126,7,7,3.2,16,24,Normal
147,9,435,225,6,6,2.6,12,16,Normal
183,7,509,59,7,7,3.1,15,28,Normal
